instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,2011-01-02,1,0,1,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-03,1,0,1,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-03,1,0,1,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-04,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-05,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-06,1,0,1,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-07,1,0,1,3,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-11,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-11,1,0,1,4,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-12,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-12,1,0,1,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-14,1,0,1,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,0,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,1,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,2,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,4,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,5,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,6,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,7,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
