reinstant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_lag1
1,2011-01-01 00:00:00,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0
2,2011-01-01 00:00:00,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,16
3,2011-01-01 00:00:00,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,40
4,2011-01-01 00:00:00,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,32
5,2011-01-01 00:00:00,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,13
6,2011-01-01 00:00:00,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1
7,2011-01-01 00:00:00,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1
8,2011-01-01 00:00:00,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2
9,2011-01-01 00:00:00,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,3
10,2011-01-01 00:00:00,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,8
11,2011-01-01 00:00:00,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,14
12,2011-01-01 00:00:00,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,36
13,2011-01-01 00:00:00,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,56
14,2011-01-01 00:00:00,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,84
15,2011-01-01 00:00:00,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,94
16,2011-01-01 00:00:00,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,106
17,2011-01-01 00:00:00,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,110
18,2011-01-01 00:00:00,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,93
19,2011-01-01 00:00:00,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,67
20,2011-01-01 00:00:00,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,35
21,2011-01-01 00:00:00,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,37
22,2011-01-01 00:00:00,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,36
23,2011-01-01 00:00:00,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,34
24,2011-01-01 00:00:00,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,28
25,2011-01-02 00:00:00,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,39
26,2011-01-02 00:00:00,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,17
27,2011-01-02 00:00:00,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,17
28,2011-01-02 00:00:00,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,9
29,2011-01-02 00:00:00,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,6
30,2011-01-02 00:00:00,1,0,1,5,0,0,0,2,0.4969,0.4757,0.6272,0.19,35,153,188,3
31,2011-01-02 00:00:00,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,188
32,2011-01-02 00:00:00,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2
33,2011-01-02 00:00:00,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,1
34,2011-01-02 00:00:00,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,8
35,2011-01-02 00:00:00,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,20
36,2011-01-02 00:00:00,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,53
